gain,delay,p_mix,phase,phase_code,max_acceleration,max_velocity,final_variance
1.04,0,0.45,RECOVERABLE,1,0.004103,0.005959,0.006982
1.06,0,0.45,RECOVERABLE,1,0.005545,0.006641,0.013297
1.08,0,0.45,IRRECOVERABLE,3,0.01508,0.01031,0.043361
1.0,1,0.45,RECOVERABLE,1,0.002949,0.004732,0.00418
1.02,1,0.45,RECOVERABLE,1,0.003478,0.005323,0.005048
1.04,1,0.45,RECOVERABLE,1,0.004103,0.005959,0.006982
1.06,1,0.45,RECOVERABLE,1,0.005545,0.006641,0.013297
1.08,1,0.45,IRRECOVERABLE,3,0.01508,0.01031,0.043361
1.0,2,0.45,RECOVERABLE,1,0.007475,0.005716,0.006608
1.02,2,0.45,RECOVERABLE,1,0.007993,0.006364,0.010388
1.04,2,0.45,IRRECOVERABLE,3,0.022215,0.012168,0.051868
1.06,2,0.45,IRRECOVERABLE,3,0.202799,0.060485,0.491549
1.08,2,0.45,IRRECOVERABLE,3,1.93226,0.724415,4.765835
1.0,3,0.45,RECOVERABLE,1,0.007533,0.005716,0.007046
1.02,3,0.45,RECOVERABLE,1,0.01242,0.007628,0.038565
1.04,3,0.45,IRRECOVERABLE,3,0.028802,0.023306,0.287979
1.06,3,0.45,IRRECOVERABLE,3,0.099098,0.265755,2.373742
1.08,3,0.45,IRRECOVERABLE,3,0.555822,2.882129,20.108287
1.0,4,0.45,RECOVERABLE,1,0.011401,0.005716,0.01442
1.02,4,0.45,IRRECOVERABLE,3,0.018443,0.009988,0.049875
1.04,4,0.45,IRRECOVERABLE,3,0.036198,0.037608,0.294778
1.06,4,0.45,IRRECOVERABLE,3,0.195612,0.271463,2.334755
1.08,4,0.45,IRRECOVERABLE,3,1.629904,2.918993,20.344744
1.0,5,0.45,RECOVERABLE,1,0.00618,0.005716,0.01547
1.02,5,0.45,RECOVERABLE,1,0.010304,0.00965,0.062476
1.04,5,0.45,IRRECOVERABLE,3,0.028353,0.044077,0.42546
1.06,5,0.45,IRRECOVERABLE,3,0.17142,0.373355,3.586358
1.08,5,0.45,IRRECOVERABLE,3,1.130118,4.473263,31.818515
1.0,6,0.45,RECOVERABLE,1,0.009003,0.008159,0.030495
1.02,6,0.45,IRRECOVERABLE,3,0.023351,0.014396,0.112936
1.04,6,0.45,IRRECOVERABLE,3,0.088232,0.064178,0.630898
1.06,6,0.45,IRRECOVERABLE,3,0.406658,0.534378,4.462082
1.08,6,0.45,IRRECOVERABLE,3,2.102329,5.110216,34.970885
1.0,7,0.45,RECOVERABLE,1,0.010257,0.009745,0.024195
1.02,7,0.45,IRRECOVERABLE,3,0.031212,0.017503,0.119871
1.04,7,0.45,IRRECOVERABLE,3,0.137302,0.070112,0.832932
1.06,7,0.45,IRRECOVERABLE,3,0.770472,0.709526,6.698761
1.08,7,0.45,IRRECOVERABLE,3,5.918323,7.977335,56.448067
1.0,8,0.45,RECOVERABLE,1,0.007601,0.005716,0.015059
1.02,8,0.45,IRRECOVERABLE,3,0.027492,0.011763,0.061183
1.04,8,0.45,IRRECOVERABLE,3,0.100254,0.049434,0.513356
1.06,8,0.45,IRRECOVERABLE,3,0.546675,0.534013,4.866383
1.08,8,0.45,IRRECOVERABLE,3,4.094554,6.441074,45.117394
1.0,9,0.45,RECOVERABLE,1,0.008072,0.007332,0.02389
1.02,9,0.45,IRRECOVERABLE,3,0.016622,0.019229,0.129542
1.04,9,0.45,IRRECOVERABLE,3,0.107712,0.101771,1.003092
1.06,9,0.45,IRRECOVERABLE,3,0.901662,0.980758,8.726269
1.08,9,0.45,IRRECOVERABLE,3,7.297711,11.066511,77.100045
1.0,10,0.45,RECOVERABLE,1,0.011276,0.009672,0.039416
1.02,10,0.45,IRRECOVERABLE,3,0.029283,0.02238,0.179162
1.04,10,0.45,IRRECOVERABLE,3,0.111699,0.131822,1.256132
1.06,10,0.45,IRRECOVERABLE,3,0.588598,1.258743,10.535557
1.08,10,0.45,IRRECOVERABLE,3,3.65398,13.44014,92.263123
1.0,0,0.5,RECOVERABLE,1,0.002949,0.004732,0.003085
1.02,0,0.5,RECOVERABLE,1,0.003478,0.005323,0.003557
1.04,0,0.5,RECOVERABLE,1,0.004103,0.005959,0.004633
1.06,0,0.5,RECOVERABLE,1,0.004851,0.006641,0.00818
1.08,0,0.5,RECOVERABLE,1,0.008727,0.007566,0.024794
1.0,1,0.5,RECOVERABLE,1,0.002949,0.004732,0.003085
1.02,1,0.5,RECOVERABLE,1,0.003478,0.005323,0.003557
1.04,1,0.5,RECOVERABLE,1,0.004103,0.005959,0.004633
1.06,1,0.5,RECOVERABLE,1,0.004851,0.006641,0.00818
1.08,1,0.5,RECOVERABLE,1,0.008727,0.007566,0.024794
1.0,2,0.5,RECOVERABLE,1,0.007475,0.005716,0.005803
1.02,2,0.5,RECOVERABLE,1,0.007993,0.006364,0.007492
1.04,2,0.5,RECOVERABLE,1,0.009818,0.011353,0.028207
1.06,2,0.5,IRRECOVERABLE,3,0.082911,0.036933,0.240059
1.08,2,0.5,IRRECOVERABLE,3,0.771918,0.311106,2.162138
1.0,3,0.5,RECOVERABLE,1,0.007533,0.005716,0.005938
1.02,3,0.5,RECOVERABLE,1,0.009703,0.007257,0.027006
1.04,3,0.5,IRRECOVERABLE,3,0.049414,0.025383,0.185184
1.06,3,0.5,IRRECOVERABLE,3,0.424027,0.167562,1.488403
1.08,3,0.5,IRRECOVERABLE,3,3.494329,1.797413,12.590122
1.0,4,0.5,RECOVERABLE,1,0.012131,0.005716,0.015344
1.02,4,0.5,IRRECOVERABLE,3,0.019882,0.011217,0.053871
